seq,referringId,partnerOrderId,clientId,subclientId,state,partnerShipmentId,mkpPartnerId,firstName,lastName,line1,city,state,zipCode,country,partnerLineId,upc,quantity,price,currencyName
1,171336141,KPL9BJKF7,76C,C8CE,CREATED,68331856,7EE4,Verona,Beatty,46151 Lon Village,Kleinchester,IL,48107-5379,USA,1,46937632,1,28.15,USD
2,223725237,SAJSPJ7L9,32E,8202,CREATED,75906910,67B4,Elroy,Davis,956 Kemmer Mall,Schusterland,KY,73882,USA,1,88199466,10,13.54,USD
3,394400216,VF47DBG87,966,10E6,CREATED,66638939,DC69,Felix,Stokes,763 Predovic Bypass,Lake Estel,AZ,28816,USA,1,44802500,1,75.12,USD
4,449453034,1A9YGP661,EC6,684B,CREATED,35378964,62D9,Arely,Reinger,1367 Wiza Expressway,Keelingfort,FL,59436,USA,1,22459250,5,72.27,USD
5,586935852,KPLWHHSM2,BAB,E92C,CREATED,37771191,A178,Linda,Krajcik,4732 Carli Wall,Glovermouth,IA,60632-2416,USA,1,78232400,7,91.37,USD
6,624465034,WBSPGAES4,E25,1475,CREATED,36131743,0A19,Bryana,Dooley,268 Kenna Groves,South Monaton,NH,61223,USA,1,12334824,3,69.23,USD
7,721548745,1F1LGSNZ4,A52,E559,CREATED,19111121,181C,Nickolas,Bartell,85759 Nels Spring,Blandahaven,NC,25286,USA,1,12174091,3,80.12,USD
8,869546898,9BE08C5T8,665,C295,CREATED,88824513,2917,Gracie,Batz,4163 Micaela Vista,New Thoraland,OH,58110,USA,1,79372263,9,44.88,USD
9,963302860,1A98DDTN1,0DA,078E,CREATED,44350572,2A18,Mara,West,9733 Jones Brooks,Port Ethyl,VT,10716,USA,1,55642046,4,40.37,USD
10,1025532883,SAJKW7YP6,5B3,77C2,CREATED,21767012,A716,Pauline,Stroman,5477 Haley Freeway,Landentown,RI,67779-4415,USA,1,42764384,7,91.36,USD
11,1198487883,1G8W35PS6,01D,49EC,CREATED,32725658,0DC7,Ashlynn,Ratke,607 Agnes Bridge,Kautzerville,TN,93163-1930,USA,1,17195404,4,53.97,USD
12,1258450519,VF4K2G8V2,5E0,34DB,CREATED,61770593,8687,Vincenzo,Friesen,92257 Freida Camp,Lefflerbury,MI,95702,USA,1,66721020,5,59.02,USD
13,1380822743,8C9CMUUZ0,AED,007E,CREATED,39026355,3203,Richmond,Hilll,58134 Lempi Wall,East Angelitaview,OH,40681-5572,USA,1,84972595,3,50.32,USD
14,1460500641,RF3RA53H4,61C,CB58,CREATED,88158517,85B3,Anthony,Leffler,6175 Satterfield Isle,Krajcikberg,IN,32065-4340,USA,1,70473131,4,14.51,USD
15,1526762874,WBT87TS21,178,E765,CREATED,64859668,A097,Makenna,Konopelski,73228 Carey Flat,Aubreyberg,MT,33944,USA,1,42780228,7,64.69,USD
16,1650703462,SAJCTVRS8,8E6,DB91,CREATED,29299259,35B9,Felipa,Nader,784 Jaden Street,East Eldora,TN,70292,USA,1,78588554,2,16.31,USD
17,1796050484,3R9657JN4,96B,CBA5,CREATED,54338873,DC5E,Jaylen,Walker,49124 Johnson Dam,Kulasmouth,CT,90724-5563,USA,1,81121618,8,19.31,USD
18,1874111248,WD3TW3A85,35E,AA24,CREATED,49145461,41D1,Jaida,Casper,220 Heller Squares,Kaylinbury,CO,30576-5941,USA,1,74088258,1,32.79,USD
19,1951271874,GA1BZ2KC9,76C,7CDB,CREATED,72474663,96C9,Wiley,Ryan,34825 Cleve Coves,Faheyton,NC,13879-8127,USA,1,60621079,7,45.28,USD
20,2026655099,WD3PPTHN0,38B,B936,CREATED,18072945,393B,Hertha,Swift,5514 Heathcote Roads,Estellhaven,CA,42353,USA,1,18111562,3,18.74,USD
21,2120996423,W094KS8Y4,173,4267,CREATED,32884373,365D,Chadrick,Wolff,395 Gerson Corner,North Xavierborough,IA,10914,USA,1,79718609,5,21.86,USD
22,2265565257,WD30LT332,24D,2313,CREATED,77077782,B68E,Chris,Macejkovic,6074 Jacynthe Roads,Tysonmouth,DE,49188,USA,1,49112533,2,23.78,USD
23,2347937394,SARNF1CX2,03A,6B43,CREATED,15480858,7240,Danika,Botsford,29849 Otha Trace,New Jefferey,IL,97309-0399,USA,1,91470358,2,14.18,USD
24,2464723524,SU9DHUB14,CBB,2230,CREATED,17136700,EBC5,Alivia,Bernier,2449 Ziemann Spurs,Boscomouth,VT,35907-1986,USA,1,98688137,9,68.45,USD
25,2585613698,9BE12LKZX,487,B7C5,CREATED,64761828,E259,Jackeline,Reilly,30351 Wyatt Ridges,Lemkechester,MO,21461-9672,USA,1,60307994,5,15.04,USD
26,2649762232,WBT3A3CG4,B54,9BE8,CREATED,60062999,8EEE,Nova,Johnston,31674 Daniel Square,Port Molly,PA,26115-6949,USA,1,15437751,7,44.39,USD
27,2771195848,J817511W8,BC3,8109,CREATED,21458514,19AE,Claud,Leuschke,626 Johns Viaduct,New Providenci,AZ,52294-1294,USA,1,74657881,3,22.76,USD
28,2854372007,1G8VUACXX,516,0B37,CREATED,11356282,AA30,Cletus,Hilpert,66294 Littel Light,New Glen,WY,79567-9390,USA,1,26278139,4,82.95,USD
29,2984177282,5FSTWLBV5,E42,A67C,CREATED,16875805,C2B4,Austin,Cruickshank,7082 Alisa Street,Lake Nick,VT,96257,USA,1,29495327,10,20.05,USD
30,3043889186,1A99NLCF0,907,C251,CREATED,73693424,5390,Ryann,Adams,597 Adah Fall,Bennettstad,NC,39968-2312,USA,1,68807079,6,28.68,USD
31,3157632517,SU94RZJ65,72E,241A,CREATED,29244526,9057,Demarco,Rippin,930 Schmidt Parkways,Port Rosalee,KY,91602-1479,USA,1,86362525,5,72.81,USD
32,3227372168,RFW9GA3B7,8D8,5B93,CREATED,17272777,1598,Izaiah,Torp,694 Labadie Hill,Elzaland,CO,62530-4112,USA,1,84949732,2,41.78,USD
33,3321092475,WD3XSVMM9,DA8,1884,CREATED,69785652,E6C9,Alvena,Zieme,82569 Boyer Ferry,New Loyal,SD,77570,USA,1,16921635,10,54.89,USD
34,3445607256,SAJVGC032,2D2,9DD5,CREATED,29396965,4B95,Camden,Parker,97022 Olson Forks,Gutmanntown,ID,53134-4849,USA,1,71334981,3,17.08,USD
35,3519003244,SAJDM58T8,A87,3678,CREATED,61938175,3AE1,Robyn,Conn,5813 Jules Dam,Alvafort,WV,74488-7990,USA,1,33467100,1,99.77,USD
36,3671809420,W099ZUW42,E94,87C9,CREATED,69995493,2775,Trent,Greenfelder,133 Maye Fort,Port Meta,IN,40754,USA,1,29276480,2,99.04,USD
37,3715757878,9BEHU4AS2,B31,CEE6,CREATED,73690835,4595,Dan,Thompson,4910 Jovan Crescent,Jeramieview,NV,50291,USA,1,56420767,4,11.58,USD
38,3849984756,1F83DB3K9,9A9,919E,CREATED,83196240,3D56,Gisselle,Grady,67960 Estefania Pines,Hahnmouth,NY,44152,USA,1,61277649,3,28.05,USD
39,3971615606,W09G4XFS5,CAA,DD37,CREATED,80413461,60D0,Obie,Streich,15243 Cremin Points,East George,KS,21678-8935,USA,1,52951325,4,44.62,USD
40,4018205372,5FSZPSF15,3EC,3B5B,CREATED,68593340,5ED7,Gordon,Lubowitz,4512 Ericka Ranch,Sengershire,NV,77566-8937,USA,1,43570212,1,68.72,USD
41,4116517458,XF9YXDP49,76C,9E46,CREATED,93783080,7B84,Burdette,Bednar,85473 Kuhn Crest,Steveborough,SC,12298,USA,1,72467327,7,35.41,USD
42,4221505818,4RAYS27N4,C16,781E,CREATED,75968222,C283,Lavinia,Barrows,99465 Shaylee Cove,Boganberg,FL,47797-5851,USA,1,88922755,2,59.27,USD
43,4380808466,9BEK97NP5,A7E,B242,CREATED,57405871,665E,Michele,Abernathy,62598 Ashly Gateway,Manuelaborough,HI,50808,USA,1,72449535,7,22.13,USD
44,4471056057,SALZ8YP69,907,236B,CREATED,35900888,A6CC,Jonas,Kiehn,4310 Krystina Lodge,North Dionton,FL,84942,USA,1,37043018,3,21.88,USD
45,4553484702,WBTYD85A4,DE5,C815,CREATED,74944706,6793,Valerie,Lind,64612 Gulgowski Landing,Erwinland,CO,46718,USA,1,79526820,10,97.09,USD
46,4686254865,1C9EJP187,D91,8D59,CREATED,97973159,7564,Imogene,Graham,3777 Barrows Shore,East Cathrinemouth,LA,17712-0898,USA,1,39300773,2,35.99,USD
47,4736741979,1C9MB9632,47E,7C18,CREATED,64482715,B270,Robyn,Sanford,6064 Cronin Path,South Alessiafurt,VA,75920-5061,USA,1,55413909,7,49.26,USD
48,4887990650,J81V293E7,E16,5D33,CREATED,78725724,07DC,Brigitte,Mills,48909 Hegmann Well,Muhammadview,OH,96767,USA,1,71507642,3,69.24,USD
49,4997509958,TRC0HPY84,21B,74A1,CREATED,47932465,47CC,Candelario,Gutkowski,824 Amely Junctions,West Jared,WI,25561-9109,USA,1,33443598,5,44.53,USD
50,5060376458,VF52L4YL3,505,50A1,CREATED,37960619,8461,Otilia,Towne,889 Larkin Stream,Thompsonside,SC,29640,USA,1,52057195,4,94.59,USD
51,5116656535,WBS0BCNM3,C38,6899,CREATED,58662719,C997,Kenneth,Reichert,14414 Kuphal Port,North Torrance,CO,54148-9149,USA,1,18947485,9,65.96,USD
52,5242479257,KPLYHHUW4,528,7706,CREATED,74865042,4453,Benton,Murphy,824 Eichmann Fall,Weimannborough,SC,36396,USA,1,50432254,6,62.87,USD
53,5331684707,1G8E1FVH8,5D4,696B,CREATED,81909268,8318,Cortney,Lowe,35844 Rodrick Forks,New Santiagoberg,ND,49568-6915,USA,1,60865983,2,49.02,USD
54,5461202358,1B69HXZF0,658,B04A,CREATED,94159813,14B0,Ardith,Satterfield,344 Crist Stravenue,Wymanfort,HI,97568-2600,USA,1,41844104,3,16.49,USD
55,5512369177,RFWJG8NUX,008,7D16,CREATED,46464013,9E87,Hailie,Kozey,79648 Newton Wells,Port Layne,ME,17196-6237,USA,1,17510525,1,13.95,USD
56,5672198361,TAM6B2XG1,031,7E8E,CREATED,46180563,A69C,Dominique,Welch,87528 Beier Brook,New Sidneyton,GA,38149-9781,USA,1,93536221,1,31.98,USD
57,5765687589,4RA8HABLX,8DE,D428,CREATED,66735037,8300,Foster,Walter,110 Jacinto Mountain,New Kirafort,VT,32971-2117,USA,1,80825948,10,46.55,USD
58,5810066291,VF58FF8B1,E27,03A5,CREATED,65406608,AA68,Shemar,Grady,927 Senger Summit,Kirlinmouth,AR,47472-6162,USA,1,46639778,9,50.19,USD
59,5978044839,SAR3AWEK0,9D6,CD72,CREATED,99634043,27A7,Jewel,Roberts,4868 Friesen Fork,South Shaunhaven,DE,72563,USA,1,42990989,1,87.51,USD
60,6075397707,WBTCPFZL7,4EC,12A5,CREATED,47224146,07CD,Dorothea,Cruickshank,715 Osinski Station,East Burleyside,SD,99592-1772,USA,1,56221587,3,47.45,USD
61,6173690990,1F1W9SJR2,D20,3002,CREATED,38092726,13B0,Guillermo,Beatty,734 Daniel Harbor,Hickleville,MO,13918,USA,1,82180905,3,96.56,USD
62,6215801629,9BE7LP8M9,8E5,E78D,CREATED,48862359,0E52,Nash,Kihn,989 Gutkowski Pass,East Mitchelland,OR,56536,USA,1,32345976,9,28.64,USD
63,6340465695,SU9EMD4JX,E8B,DBD8,CREATED,10843477,944A,Pedro,Collier,3811 Hazle Village,Port Janiceside,AZ,81496,USA,1,40685050,2,31.74,USD
64,6437916945,WD23TAED1,B7C,80E5,CREATED,73843741,7773,Tre,Wilkinson,5400 Crona Forges,Port Andreane,NJ,67874-3584,USA,1,48076665,8,13.14,USD
65,6548293671,VF5CTHPL9,274,DD5A,CREATED,97746499,0964,Jazmin,Schaefer,978 Earlene Spring,Lethashire,ND,61231,USA,1,85432610,6,65.38,USD
66,6654357850,4RASN1785,DED,E5C5,CREATED,30418239,2971,Clair,Mayer,4100 Ryan Mountain,North Abbeyshire,MT,48828,USA,1,73041413,3,30.92,USD
67,6768094915,8C9LFG4PX,045,99D1,CREATED,16693027,61EC,Lillian,Schulist,49899 Effertz Throughway,Satterfieldville,VT,81104-1715,USA,1,43245962,1,75.09,USD
68,6871415942,SXM7BZ0R9,042,A744,CREATED,65440854,8BDE,Rebecca,Kemmer,1157 Bashirian Keys,East Zoie,HI,37970-9226,USA,1,78264671,9,25.23,USD
69,6979396860,TRCUJ0904,724,5DB7,CREATED,61223400,0A09,Vincent,Metz,988 Nettie Pine,Klingfort,MI,47475,USA,1,11799889,2,80.93,USD
70,7060188333,MB4RM2HD5,A6E,B240,CREATED,94714185,05C2,Reilly,Luettgen,5386 Cayla Loaf,New Germanmouth,NY,89998-0606,USA,1,38907674,7,74.52,USD
71,7181896452,SARAZ8Y46,868,C033,CREATED,16162048,59B9,Marisol,Parisian,1229 Trantow Summit,West Trentonshire,KY,85871-6705,USA,1,19735744,4,89.92,USD
72,7287501384,RF43U9LU3,D12,EE37,CREATED,78658310,E2C5,Lennie,Balistreri,466 Kling Ports,Aleenfort,TX,46988,USA,1,39815758,1,25.83,USD
73,7347758188,WBT9RRK98,EE6,C125,CREATED,68735396,3531,Kali,Bechtelar,1730 Welch Street,Hermannport,WA,83819-7427,USA,1,32477151,8,22.91,USD
74,7419971986,KPHSKXWW6,8D8,2CE4,CREATED,77653471,0115,Alba,D'Amore,5807 Jackeline Haven,Port Carey,IL,14835,USA,1,43571299,7,85.01,USD
75,7564098456,WD3MS76C4,99E,3A27,CREATED,88190379,0974,Rita,Johns,65362 Reichert Pass,Tatumside,ND,90396-4274,USA,1,46103858,3,84.87,USD
76,7636040704,1F8JM97Y7,246,1A90,CREATED,49483825,1ED4,Joelle,Barton,27326 Bosco Point,North Wernertown,WA,36778-7177,USA,1,22943559,6,98.77,USD
77,7764904760,1C9ADWXLX,8DB,AD3D,CREATED,30414970,5B99,Zena,Kunze,27281 Lizzie Cape,South Flavio,WV,31691,USA,1,30797161,10,14.51,USD
78,7850209288,SUAF4T8Y2,C47,34D3,CREATED,91662369,7753,Maida,Becker,896 Isaac Overpass,West Florian,SC,97392,USA,1,67313290,6,19.18,USD
79,7932902930,1G87JPAVX,CC3,6AEA,CREATED,56688066,86C2,Phoebe,Batz,49273 Weimann Cove,South Jayme,UT,81425-9806,USA,1,34954242,4,23.09,USD
80,8084632911,3A9HXPWK0,53E,6271,CREATED,62093861,C27B,Trystan,Grant,131 Wisozk Ridges,Harrisfurt,CT,75214-4561,USA,1,61711921,9,36.83,USD
81,8156130721,1A9KFSXL0,3DE,DB4B,CREATED,26930015,2BBA,Magali,Abshire,5376 Callie Radial,Goldachester,KY,96433-3653,USA,1,87327613,7,18.63,USD
82,8289346879,RF345LEE9,92B,C74D,CREATED,63707645,0E6D,Royce,Walter,89694 Christina Drives,South Sage,AK,62260-8850,USA,1,56677753,1,26.75,USD
83,8325670877,TRCP8LM28,BD6,96A0,CREATED,88542738,D5A0,Liliana,Ledner,473 Virginia Drive,Lake Dellview,IL,28527-3212,USA,1,73413718,3,64.46,USD
84,8418559306,WBS0CNNC9,DE9,56D1,CREATED,35479239,7984,Hoyt,Wilkinson,58752 Krajcik Avenue,Dorotheaview,AK,58075-8587,USA,1,65441337,3,95.41,USD
85,8526126187,15E9LF1R3,8A4,0B08,CREATED,39832268,8BE6,Kirstin,Lowe,373 Barton Isle,South Mikel,HI,64305-5849,USA,1,60477346,5,22.23,USD
86,8624818524,3R9Z61RY1,2E3,3D60,CREATED,29481148,CB94,Meta,Rohan,78022 Hayes Key,Eulahview,PA,50497,USA,1,20553044,1,35.58,USD
87,8714953221,1B946E166,D51,ABE7,CREATED,36253665,972D,Anais,Cummerata,37896 Harmon Islands,Brycebury,NE,99996,USA,1,68909037,5,67.93,USD
88,8896001367,VF6CBD0G6,807,4E97,CREATED,47871214,667A,Trisha,Cruickshank,618 Heller Ports,Pfannerstilltown,CA,81334-8346,USA,1,23478328,5,27.84,USD
89,8930777985,SU99ZGUG9,344,8BB9,CREATED,26010906,7E46,Dorian,Corwin,6212 Hartmann Light,South Fredy,KY,84132,USA,1,64229157,2,37.82,USD
90,9040678553,KPH5L7S72,727,5918,CREATED,62809192,C4A3,Monty,Weimann,7215 Itzel Drives,Schmidttown,WA,54108,USA,1,66866891,6,13.72,USD
91,9173334382,W09YJ18H3,B13,3A10,CREATED,15274054,DA50,Natalia,Von,3066 Richmond Mountain,Kelleyhaven,KY,65384,USA,1,86806751,7,86.26,USD
92,9224362996,WBWNZM4E6,CD1,B3BB,CREATED,19330964,A998,Michael,Cummings,78755 Vincent Shore,Carleyview,VA,30602-0051,USA,1,13825902,8,39.54,USD
93,9326863964,WBSA2PRHX,417,9234,CREATED,91439826,A8DE,Donna,MacGyver,8564 Joel Spurs,North Teresaville,PA,97626,USA,1,48638210,7,80.87,USD
94,9424152182,RF5F1HDL5,4E6,22CB,CREATED,65553548,CEC5,Allene,Hartmann,9717 Jacey Square,South Loisbury,MD,63912,USA,1,26249299,9,21.21,USD
95,9565516092,SUBZMT0A7,7B4,A964,CREATED,34021726,55D7,Jessy,Heidenreich,36374 Tiara Plaza,Homenickfort,IL,66801,USA,1,56009427,2,97.46,USD
96,9625746311,1B90W3N90,20E,114D,CREATED,19034883,0AA4,Fermin,Cole,424 Meaghan Walks,Feilview,NY,40720,USA,1,66481193,2,18.23,USD
97,9736365091,WD2EG88C0,459,7416,CREATED,37532293,98C4,Dax,Greenholt,47854 Chaya Lakes,New Delpha,NV,17231-9042,USA,1,65512320,1,23.51,USD
98,9854806878,3R9W87AH0,3EB,0C60,CREATED,79885288,4612,Gabe,Barton,66729 Runolfsson Isle,Tarahaven,WV,88167,USA,1,60294318,4,34.39,USD
99,9981460927,1C9RTH513,3AB,5A54,CREATED,38636237,DD93,Brett,Legros,7162 Toy Valleys,Framimouth,AK,85245,USA,1,61995005,7,37.48,USD
100,10088986236,L1CBVNVJ6,775,088A,CREATED,84570756,C9D2,Davonte,Hamill,13507 Breitenberg Village,Gloverchester,HI,33827,USA,1,68301225,1,15.61,USD
101,10147639847,15EX54DF0,CA7,13C3,CREATED,81140554,0D65,Jody,Upton,57257 Prohaska Key,West Shanehaven,MS,82855-2295,USA,1,82800940,5,75.98,USD
102,10290147280,SUBN2YSNX,BC7,BC93,CREATED,76378264,A955,Jessie,Carter,85383 Lina Underpass,Dwightview,OR,73697-4092,USA,1,87230806,3,54.71,USD
